cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time,mono_drive_rate,mono_release_time,tp_release_time,tower_section_fasten_time,tower_section_release_time,tower_section_attach_time,nacelle_fasten_time,nacelle_release_time,nacelle_attach_time,blade_fasten_time,blade_release_time,blade_attach_time
1.0,WTIV,Mobilize,168.0,2800000.0,ACTION,0.0,MonopileInstallation,,,,,,,,,,,,,,,,,
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,12.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,20.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,32.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,40.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,52.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,60.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,72.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,80.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,83.24324324324324,MonopileInstallation,,,,,,,,,,,,,,,,,
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,88.24324324324324,MonopileInstallation,,,,,,,,,,,,,,,,,
,WTIV,Jackup,5.416666666666667,90277.7777777778,ACTION,93.65990990990991,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,94.65990990990991,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Release Monopile,10.0,166666.6666666667,ACTION,104.65990990990991,MonopileInstallation,,,,,,,,,,,,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,105.38297544523773,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,105.38622544523773,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,106.38622544523773,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Drive Monopile,1.2,20000.0,ACTION,107.58622544523773,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Release Transition Piece,10.0,166666.6666666667,ACTION,117.58622544523773,MonopileInstallation,,,,,,,,,,,,,,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,118.58622544523773,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,119.58622544523773,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,123.58622544523773,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Jackdown,5.416666666666667,90277.7777777778,ACTION,129.0028921119044,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,134.0028921119044,MonopileInstallation,,,,,,,,,,,,,,,,,
,WTIV,Jackup,5.416666666666667,90277.7777777778,ACTION,139.41955877857106,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,140.41955877857106,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Release Monopile,10.0,166666.6666666667,ACTION,150.41955877857106,MonopileInstallation,,,,,,,,,,,,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,151.14262431389886,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,25.0,10.0,10.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
