cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,site_position_time,mono_drive_rate,location,site_depth,hub_height
1.0,WTIV,Mobilize,168.0,1750000.0,ACTION,0.0,MonopileInstallation,,,,,,
0.5,Feeder 0,Mobilize,72.0,180000.0,ACTION,0.0,MonopileInstallation,,,,,,
0.5,Feeder 1,Mobilize,72.0,180000.0,ACTION,0.0,MonopileInstallation,,,,,,
,WTIV,Transit,3.2432432432432434,33783.78378378379,ACTION,3.2432432432432434,MonopileInstallation,,,,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,12.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,20.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,32.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,40.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,52.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,60.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,72.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,80.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,Feeder 1,Queue,80.0,400000.0,ACTION,80.0,MonopileInstallation,,,,,,
,Feeder 0,Transit,3.2432432432432434,16216.216216216217,ACTION,83.24324324324324,MonopileInstallation,,,,,,
,Feeder 0,Jackup,0.0008341675008341675,4.170837504170837,ACTION,83.24407741074408,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Delay: Not enough vessels for monopiles,80.00083416750084,833342.0225781337,ACTION,83.24407741074408,MonopileInstallation,,,,Site,,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,88.24407741074408,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,88.56074407741075,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,89.56074407741075,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,92.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Release Monopile,3.0,31250.0,ACTION,92.56074407741075,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,93.28380961273857,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,93.28705961273856,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,94.28705961273856,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,100.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Delay,7.0,72916.66666666666,ACTION,101.28705961273856,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,112.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Drive Monopile,15.0,156250.0,ACTION,116.28705961273856,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,118.28705961273856,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,119.28705961273856,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,120.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,120.28705961273856,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,124.28705961273856,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,124.60372627940522,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,129.60372627940524,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,129.9203929460719,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,130.9203929460719,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,132.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Release Monopile,3.0,31250.0,ACTION,133.9203929460719,MonopileInstallation,,,,,,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,140.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Delay,9.0,93750.0,ACTION,142.9203929460719,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,143.6434584813997,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,143.6467084813997,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,144.6467084813997,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Delay,3.0,31250.0,ACTION,147.6467084813997,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,152.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,160.0,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Drive Monopile,15.0,156250.0,ACTION,162.6467084813997,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Transit,3.2432432432432434,16216.216216216217,ACTION,163.24324324324326,MonopileInstallation,,,,,,
,Feeder 1,Jackup,0.0008341675008341675,4.170837504170837,ACTION,163.2440774107441,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,164.6467084813997,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,165.6467084813997,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,166.6467084813997,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,170.6467084813997,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,170.96337514806638,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,175.96337514806638,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,176.28004181473304,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,177.28004181473304,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,180.28004181473304,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,181.00310735006084,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Delay,2.0,20833.333333333332,ACTION,183.00310735006084,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,183.00635735006085,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,184.00635735006085,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Delay,36.0,375000.0,ACTION,220.00635735006085,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Drive Monopile,15.0,156250.0,ACTION,235.00635735006085,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,237.00635735006085,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,238.00635735006085,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,239.00635735006085,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,243.00635735006085,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,243.32302401672752,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,248.32302401672752,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,248.63969068339418,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
