cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time,mono_drive_rate
1.0,WTIV,Mobilize,168.0,2800000.0,ACTION,0.0,MonopileInstallation,,,,,,
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,12.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,20.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,32.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,40.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,52.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,60.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,72.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,80.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,83.24324324324324,MonopileInstallation,,,,,,
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,88.24324324324324,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,88.5599099099099,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,89.5599099099099,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Release Monopile,3.0,50000.0,ACTION,92.5599099099099,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,93.28297544523772,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,93.28622544523772,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,94.28622544523772,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Delay,7.0,116666.66666666667,ACTION,101.28622544523772,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Drive Monopile,15.0,250000.00000000003,ACTION,116.28622544523772,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,118.28622544523772,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,119.28622544523772,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,120.28622544523772,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,124.28622544523772,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,124.60289211190438,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,129.6028921119044,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,129.91955877857106,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,130.91955877857106,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Release Monopile,3.0,50000.0,ACTION,133.91955877857106,MonopileInstallation,,,,,,
,WTIV,Delay,9.0,150000.0,ACTION,142.91955877857106,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,143.64262431389886,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,5.0,2.0
