cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,location
1.0,WTIV,Mobilize,168.0,1750000.0,ACTION,0.0,MonopileInstallation,,,,,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,12.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,20.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,32.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,40.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,52.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,60.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Delay,29.0,302083.3333333333,ACTION,89.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,101.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,109.0,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Transit,43.24324324324324,450450.4504504504,ACTION,152.24324324324323,MonopileInstallation,,,,,
,WTIV,Position Onsite,2.0,20833.333333333332,ACTION,154.24324324324323,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,154.5599099099099,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,155.5599099099099,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Monopile,3.0,31250.0,ACTION,158.5599099099099,MonopileInstallation,,,,,
,WTIV,Delay,1.0,10416.666666666666,ACTION,159.5599099099099,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,160.2829754452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,160.2862254452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,161.2862254452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Delay,20.0,208333.3333333333,ACTION,181.2862254452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,182.7862254452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,184.7862254452377,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,185.7862254452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,186.7862254452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,190.7862254452377,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,191.10289211190437,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Position Onsite,2.0,20833.333333333332,ACTION,193.10289211190437,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,193.41955877857103,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,194.41955877857103,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Monopile,3.0,31250.0,ACTION,197.41955877857103,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,198.14262431389884,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,198.14587431389884,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,199.14587431389884,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,200.64587431389884,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,202.64587431389884,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,203.64587431389884,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,204.64587431389884,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,208.64587431389884,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,208.9625409805655,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Position Onsite,2.0,20833.333333333332,ACTION,210.9625409805655,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,211.27920764723217,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,212.27920764723217,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Monopile,3.0,31250.0,ACTION,215.27920764723217,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,216.00227318255997,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,216.00552318255998,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,217.00552318255998,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,218.50552318255998,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,220.50552318255998,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,221.50552318255998,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,222.50552318255998,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,226.50552318255998,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,226.82218984922665,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Position Onsite,2.0,20833.333333333332,ACTION,228.82218984922665,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,229.1388565158933,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,230.1388565158933,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Monopile,3.0,31250.0,ACTION,233.1388565158933,MonopileInstallation,,,,,
,WTIV,Delay,13.0,135416.66666666666,ACTION,246.1388565158933,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,246.86192205122111,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,246.86517205122112,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,247.86517205122112,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,249.36517205122112,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,251.36517205122112,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,252.36517205122112,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,253.36517205122112,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,257.3651720512211,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,257.6818387178878,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Transit,43.24324324324324,450450.4504504504,ACTION,300.925081961131,MonopileInstallation,,,,,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,312.925081961131,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,320.925081961131,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,332.925081961131,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,340.925081961131,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,352.925081961131,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,360.925081961131,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,372.925081961131,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,380.925081961131,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Transit,43.24324324324324,450450.4504504504,ACTION,424.16832520437424,MonopileInstallation,,,,,
,WTIV,Position Onsite,2.0,20833.333333333332,ACTION,426.16832520437424,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,426.4849918710409,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
